2024-05-05 13:55:02.928 INFO  --- 14555 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:109 --- Tomcat initialized with port 8080 (http) 
2024-05-05 13:55:02.951 INFO  --- 14555 [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:296 --- Root WebApplicationContext: initialization completed in 411 ms 
2024-05-05 13:55:04.982 INFO  --- 14555 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:241 --- Tomcat started on port 8080 (http) with context path '' 
2024-05-05 13:55:25.084 INFO  --- 15723 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:139 --- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2024-05-05 13:55:25.092 INFO  --- 15723 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:208 --- Finished Spring Data repository scanning in 6 ms. Found 0 MongoDB repository interfaces. 
2024-05-05 13:55:25.246 INFO  --- 15723 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:109 --- Tomcat initialized with port 8080 (http) 
2024-05-05 13:55:25.268 INFO  --- 15723 [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:296 --- Root WebApplicationContext: initialization completed in 413 ms 
2024-05-05 13:55:27.535 INFO  --- 15723 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:241 --- Tomcat started on port 8080 (http) with context path '' 
2024-05-05 13:56:57.308 INFO  --- 20985 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:139 --- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2024-05-05 13:56:57.316 INFO  --- 20985 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:208 --- Finished Spring Data repository scanning in 6 ms. Found 0 MongoDB repository interfaces. 
2024-05-05 13:56:57.466 INFO  --- 20985 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:109 --- Tomcat initialized with port 8080 (http) 
2024-05-05 13:56:57.489 INFO  --- 20985 [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:296 --- Root WebApplicationContext: initialization completed in 404 ms 
2024-05-05 13:56:59.746 INFO  --- 20985 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:241 --- Tomcat started on port 8080 (http) with context path '' 
2024-05-05 13:57:34.074 INFO  --- 22749 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:139 --- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2024-05-05 13:57:34.083 INFO  --- 22749 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:208 --- Finished Spring Data repository scanning in 6 ms. Found 0 MongoDB repository interfaces. 
2024-05-05 13:57:34.253 INFO  --- 22749 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:109 --- Tomcat initialized with port 8080 (http) 
2024-05-05 13:57:34.279 INFO  --- 22749 [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:296 --- Root WebApplicationContext: initialization completed in 452 ms 
2024-05-05 13:57:37.028 INFO  --- 22749 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:241 --- Tomcat started on port 8080 (http) with context path '' 
